iterations,time,steps,error,solutions
0,9884,0,0,0
1,8797,0,0,0
2,13995,0,0,0
3,18298,0,0,0
4,15118,0,0,0
5,11933,88,0,1
6,14841,88,0,1
7,16147,212,0,2
8,19620,212,0,2
9,18969,212,0,2
10,15622,212,0,2
11,14675,340,0,3
12,16052,340,0,3
13,17186,592,0,3
14,16759,483,0,4
15,21353,786,0,5
16,15921,786,0,5
17,15530,945,0,6
18,15683,945,0,6
19,15702,945,0,6
20,17726,945,0,6
21,15980,1063,0,7
22,13685,569,0,8
23,15918,569,0,8
24,20914,569,0,8
25,16035,569,0,8
26,19275,962,0,10
27,15912,962,0,10
28,19551,962,0,10
29,16641,962,0,10
30,18581,962,0,10
31,15092,472,0,12
32,13424,472,0,12
33,18077,1151,0,13
34,19030,1151,0,13
35,21167,1576,0,14
36,18278,1576,0,14
37,19989,836,0,15
38,24189,836,0,15
39,24906,836,0,15
40,20880,836,0,15
41,27125,836,0,15
42,27237,836,0,15
43,24503,1136,0,16
44,26679,1187,0,17
45,31893,1864,0,17
46,25124,1864,0,17
47,23737,1864,0,17
48,20474,1864,0,17
49,17878,1864,0,17
50,17278,1864,0,17
51,19055,1864,0,17
52,13772,2207,0,18
53,12174,2207,0,18
54,13482,2511,0,19
55,13683,2555,0,19
56,16449,2555,0,19
57,17577,1291,0,20
58,17548,2159,0,21
59,18293,2159,0,21
60,18245,2159,0,21
61,20164,1436,0,22
62,17297,1436,0,22
63,18346,1436,0,22
64,20718,1436,0,22
65,20135,1436,0,22
66,21854,1436,0,22
67,21335,1436,0,22
68,22494,1287,0,23
69,24371,1287,0,23
70,22739,803,0,23
71,21053,803,0,23
72,19379,803,0,23
73,30116,803,0,23
74,43620,2329,0,23
75,35566,1241,0,24
76,28087,1813,0,25
77,27316,1724,0,26
78,24502,2560,0,28
79,18909,1772,0,30
80,22131,2861,0,31
81,22464,2861,0,31
82,20191,3002,0,33
83,29528,2987,0,34
84,26491,2987,0,34
85,21741,2987,0,34
86,23943,2987,0,34
87,19426,3747,0,35
88,17689,3747,0,35
89,18516,3747,0,35
90,21825,4247,0,36
91,24374,3955,0,37
92,23961,3955,0,37
93,22072,4035,0,38
94,18716,4035,0,38
95,18162,3919,0,40
96,19410,2529,0,41
97,19442,2529,0,41
98,19588,3563,0,43
99,16537,3563,0,43
