iterations,time,steps,error,solutions
0,3033,0,0,1
1,3523,9,15.78947,2
2,2525,9,22.89474,3
3,3653,12,27.07237,4
4,2834,10,26.03618,5
5,6347,33,31.43914,6
6,3814,19,25.71957,7
7,2362,12,22.85979,7
8,2216,10,22.541,8
9,2053,9,23.7705,9
10,2271,10,28.55192,10
11,1256,5,14.27596,11
12,5369,22,25.0867,12
13,2812,12,12.54335,13
14,2885,12,21.65629,14
15,1956,9,25.11386,15
16,1475,7,29.22359,16
17,1930,8,29.6118,17
18,1088,5,14.8059,17
19,1224,7,17.40295,18
20,1145,7,22.98719,19
21,1982,12,26.19948,20
22,1295,8,25.59974,21
23,1091,5,12.79987,22
24,2092,8,24.58175,23
25,1657,6,22.29088,23
26,934,3,11.14544,23
27,1275,5,19.85843,24
28,2165,8,28.11103,25
29,1365,5,14.05552,25
30,1317,5,17.02776,26
31,770,3,8.51388,27
32,869,3,16.75694,28
33,626,2,8.378469,29
34,2050,8,18.47495,30
35,1479,6,21.73747,31
36,1040,4,10.86874,31
37,1386,5,19.72008,31
38,2071,8,28.04186,32
39,1651,6,24.02093,33
40,1387,5,22.01046,33
41,1136,4,23.50523,34
42,1230,4,24.25262,35
43,2453,9,25.45964,36
44,1648,6,29.39649,37
45,1205,4,14.69824,38
46,746,2,7.349122,38
47,1816,7,20.34123,38
48,1408,5,22.67061,39
49,1459,5,28.00197,40
50,1090,4,14.00099,40
51,1823,7,20.63686,40
52,3393,21,27.46128,41
53,3050,20,29.52011,42
54,1675,10,14.76006,43
55,2185,11,22.76464,44
56,1666,7,23.88232,44
57,2861,12,25.83005,45
58,1597,6,12.91503,46
59,1241,5,18.95751,47
60,1226,5,19.47876,47
61,846,3,9.739378,48
62,5422,21,22.36969,48
63,4399,18,27.85151,49
64,2772,11,23.92575,49
65,12628,22,29.60994,50
66,6432,11,14.80497,50
67,7291,23,24.54534,50
68,5961,21,28.06215,50
69,3381,12,26.53107,50
70,2535,9,27.55125,50
71,2815,10,30.44229,51
72,1524,5,15.22115,51
73,12985,55,25.22962,52
74,7243,30,20.94814,53
75,6379,27,28.47407,54
76,4103,17,26.73704,55
77,4488,18,30.86852,55
78,2753,11,27.93426,56
79,1564,6,13.96713,57
80,900,3,6.983565,57
81,2231,8,21.34893,57
82,2721,10,27.34113,58
83,2633,10,27.30693,58
84,2071,8,21.9868,59
85,5358,23,28.09866,59
86,3305,14,24.04933,59
87,1785,7,12.02467,59
88,6657,26,24.49059,59
89,4131,16,26.53101,59
90,4461,18,28.2655,59
91,2369,9,14.13275,59
92,1914,7,23.73304,59
93,1095,4,11.86652,59
94,691,2,5.93326,59
95,966,5,15.46663,59
96,616,3,7.733315,59
97,1762,11,21.36666,59
98,1460,8,20.68333,60
99,1303,8,22.84166,60
