iterations,time,steps,error,solutions
0,10391,12,0,1
1,17333,13,0,2
2,27629,18,0,3
3,18020,11,0,4
4,39089,24,0,5
5,35644,20,0,5
6,23789,12,0,6
7,65116,34,0,7
8,43930,21,0,8
9,36233,15,0,9
10,21010,9,0,10
11,28107,14,0,11
12,22775,13,0,12
13,30981,15,0,13
14,34041,16,0,14
15,53124,29,0,15
16,37139,19,0,16
17,31234,14,0,17
18,52876,27,0,18
19,44270,23,0,19
20,27932,14,0,20
21,21724,10,0,20
22,19222,8,0,21
23,24343,13,0,22
24,30096,10,0,23
25,31599,13,0,24
26,48498,20,0,25
27,47702,23,0,25
28,39311,17,0,26
29,35348,16,0,27
30,39659,16,0,27
31,27544,11,0,28
32,26598,11,0,28
33,49411,17,0,29
34,29797,11,0,29
35,68963,22,0,29
36,40514,13,0,30
37,34050,11,0,31
38,154103,48,0,31
39,139315,40,0,32
40,85130,23,0,32
41,75252,21,0,32
42,47800,14,0,32
43,46925,15,0,33
44,59459,20,0,34
45,36812,12,0,34
46,27549,10,0,35
47,40973,17,0,35
48,35992,15,0,35
49,84007,39,0,36
50,58257,28,0,37
51,50789,22,0,37
52,31923,14,0,38
53,19295,8,0,38
54,24611,11,0,38
55,16114,7,0,39
56,69035,25,0,39
57,61392,21,0,40
58,156062,49,0,41
59,142236,47,0,42
60,100087,32,0,42
61,121970,38,0,43
62,102343,31,0,43
63,68982,22,0,44
64,45761,15,0,44
65,36215,12,0,44
66,46777,15,0,44
67,61700,19,0,44
68,38355,12,0,45
69,32242,11,0,46
70,53381,16,0,47
71,31399,10,0,47
72,148009,45,0,48
73,94173,30,0,49
74,54841,18,0,49
75,115717,34,0,49
76,75121,21,0,49
77,138296,44,0,49
78,79654,26,0,49
79,61292,18,0,50
80,39396,12,0,50
81,21046,6,0,51
82,45910,12,0,51
83,58426,19,0,51
84,80402,26,0,51
85,112889,36,0,51
86,68490,22,0,51
87,58376,20,0,52
88,41888,14,0,52
89,36496,11,0,53
90,24824,8,0,54
91,29157,11,0,55
92,43687,14,0,55
93,46875,15,0,55
94,58378,22,0,56
95,38325,14,0,57
96,28330,10,0,57
97,33548,15,0,57
98,44306,19,0,57
99,26461,11,0,57
